"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","PEAK THROUGHPUT TESTS","","0","0","0","3456","0"
"","Performance Test","","0","0","0","68","0"
"","AX Client Scale Tests","","0","0","0","90","0"
"","Advanced Captive Portal Test","","0","0","0","30","0"
"","Channel vs Country Code","","0","0","0","449","0"
"","VLAN MODE CLIENT CONNECTIVITY","","0","0","0","99","0"
"","BRIDGE MODE WPA2 PERSONAL Multi_Station_Throughput","","0","0","0","48","0"
"","","","0","0","0","121","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","","0","0","0","98","0"
"","VLAN MODE ENTERPRISE SETUP","","0","0","0","16","0"
"","Rate Limiting Test","","0","0","0","41","0"
"","Rate Limiting Tests","","0","0","0","19","0"
"","VLAN MODE SETUP","","0","0","0","9","0"
"","BE Client Scale Tests","","0","0","0","28","0"
"","Dataplane Tests","","0","0","0","27","0"
"","Client Connectivity","OWE 5 GHZ Band","0","0","0","2","0"
"","Client Connectivity","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","4","0"
"","NAT MODE CLIENT CONNECT","wpa wpa2 personal mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECTIVITY","","0","0","0","98","0"
"","TR-398 Issue 2","","0","0","0","12","0"
"","Multi Association and Disassociation","","0","0","0","2","0"
"","NAT MODE ENTERPRISE SETUP","","0","0","0","16","0"
"","DFS Test","","0","0","0","20","0"
"","Bridge Mode Client Isolation","","0","0","0","22","0"
"","Client Connectivity","OPEN 2.4 GHZ Band","0","0","0","4","0"
"","Client Connectivity","wpa3_personal 2.4 GHZ Band","0","0","0","4","0"
"","Client Connectivity","","0","0","0","72","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3 enterprise 5 GHZ Band","0","0","0","1","0"
"","Multi-Station Performance","","0","0","0","2","0"
"","nat MODE CLIENT CONNECTIVITY","","0","0","0","2","0"
"","VLAN MODE TOGGLE WIFI MODE","","0","0","0","18","0"
"","NAT MODE CLIENT CONNECT","","0","0","0","6","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","NAT MODE WPA2 PERSONAL Multi Station Throughput","","0","0","0","48","0"
"","Spatial Consistency","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE WIFI MODE","","0","0","0","18","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 5 GHZ Band","0","0","0","1","0"
"","Rate Limiting With Radius Test","","0","0","0","24","0"
"","VLAN Mode WPA2 PERSONAL Multi Station Throughput","","0","0","0","48","0"
"","BRIDGE MODE ENTERPRISE SETUP","","0","0","0","16","0"
"","Dual band performance test","","0","0","0","10","0"
"","Client Connectivity","OPEN 5 GHZ Band","0","0","0","4","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa enterprise 5 GHZ Band","0","0","0","1","0"
"","MultiPsk Test","","0","0","0","9","0"
"","Client Connectivity","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","4","0"
"","NAT MODE TOGGLE WIFI MODE","","0","0","0","18","0"
"","BRIDGE MODE TOGGLE AIRPLANE","open 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE SETUP","","0","0","0","9","0"
"","BRIDGE MODE RATE LIMITING","wpa 2.4 GHZ Band","0","0","0","1","0"
"","Roam Test","","0","0","0","31","0"
"","Client Connectivity","OWE-Transition 2.4 GHZ Band - Non-OWE Client","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa 5 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa3_personal_mixed 5 GHZ Band","0","0","0","4","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2 enterprise 5 GHZ Band","0","0","0","1","0"
"","Schema Validation","","0","0","0","7","0"
"","Multi band performance test","","0","0","0","2","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal 5 GHZ Band","0","0","0","2","0"
"","Dynamic VLAN Test","","0","0","0","38","0"
"","MESH BASIC","","0","0","8","0","0"
"","Save_crashlog_to_pstore","","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","1","0"
"","Test Connectivity","","0","0","0","6","0"
"","Airtime Fairness","","0","0","0","2","0"
"","Client Connectivity","OWE 6 GHZ Band","0","0","0","2","0"
"","Rate Limiting Tests","Rate Limiting Open SSID 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","open 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","OPEN 5 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa 2.4 GHZ Band","0","0","0","4","0"
"","Test Real TIme AP Events using Kafka","","0","0","0","15","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal_mixed 5 GHZ Band","0","0","0","2","0"
"","BRIDGE MODE SETUP","","0","0","0","9","0"
"","Client Connectivity","wpa wpa2 personal mixed 5 GHZ Band","0","0","0","4","0"
"","VLAN MODE CLIENT CONNECTIVITY","OPEN 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","2","0"
"","NAT MODE RATE LIMITING","wpa 5 GHZ Band","0","0","0","1","0"
"","Multi VLAN Test","","0","0","0","12","0"
"","BRIDGE MODE CLIENT CONNECT","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa wpa2 personal mixed 5 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa 5 GHZ Band","0","0","0","4","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa3_personal 6 GHZ Band","0","0","0","4","0"
"","Receiver Sensitivity","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE RATE LIMITING","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","wpa 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","OWE 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa2_personal 5 GHZ Band","0","0","0","4","0"
"","NAT MODE CLIENT CONNECT","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","","0","0","0","6","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3 enterprise 5 GHZ Band","0","0","0","1","0"
"","Maximum Throughput","","0","0","0","2","0"
"","Client Connectivity","wpa2_personal 2.4 GHZ Band","0","0","0","4","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","Hot Reload","wpa2_personal 5 GHZ Band","0","0","0","4","0"
"","BRIDGE MODE CLIENT CONNECT","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa3_personal 5 GHZ Band","0","0","0","4","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal 2.4 GHZ Band","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","OPEN 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2 enterprise 5 GHZ Band","0","0","0","1","0"
"","Master Configurations Test","","0","0","0","3","0"
"","VLAN MODE CLIENT CONNECT","","0","0","0","6","0"
"","NAT MODE CLIENT CONNECT","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","OWE-Transition 5 GHZ Band - OWE Client","0","0","0","2","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","OPEN 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","OPEN 5 GHZ Band","0","0","0","1","0"
"","Multi SSID Test","","0","0","0","8","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","vlan MODE CLIENT CONNECTIVITY","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","Maximum Connection","","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","OWE-Transition 5 GHZ Band - Non-OWE Client","0","0","0","2","0"
"","Client Connectivity","OWE-Transition 2.4 GHZ Band - OWE Client","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal_mixed 5 GHZ Band","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","RATE VS RANGE","","0","0","0","2","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","Strict Forwarding","","0","0","0","3","0"
"","VLAN MODE RATE LIMITING","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","open 2.4 GHZ Band","0","0","0","1","0"
"","bridge MODE CLIENT CONNECTIVITY","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3 enterprise 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE open security and Downlink MU_MIMO Test","","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal 5 GHZ Band","0","0","0","2","0"
"","NAT MODE CLIENT CONNECT","OPEN 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","Wifi_stats_comparison","wpa3_personal","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa enterprise 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa enterprise 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2 enterprise 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
